Komentar,Kategori
"1 hal,seandainya pendapatan dan harta istri lebih tinggi tolong tahta tertinggi rumah tangga tetap di pegang suami,karena sejatinya laki-laki memiliki hasrat ingin di hargai sebgai raja dalam rumah tangga, di sini dilan sudah bilang sendiri hal itu suaminya bahkan sligkuh dgn org yg jauh di bwah dia ,tapi mantan suaminya dapat kenyamanan dgn itu krena disana dia merasa laki-laki sekali...pendapat gua sebagai seorang suami mgkin dilan terlalu ego dgn semua kemampuan dia seolah2 semuanya bisa di atur termasuk suaminya, dia benar ini awalnya cuma msalah EGO tapi jauh sebelumnya si laki2 sepertinya sudah tau mgkin ketika pacaran klw dilan bucin sekali dengannya sehingga di manfaatkan karena memiliki harta,nah ..munculah sifat ingin pengen memanfaatkan dilan.. "" aku nikah dengan dilan dapat harta gapapa gua disuruh2 ini itu,tapi gua bisa cari kebahagiaan sebagai laki2 dengan harta yng dia berikan "" kira2 ginilah konsep si laki2.. emng betul kata dilan,,, dia merasa di hatatin x ,tapi juga harus belajar juga dri kesalahan,smpai saat ini sepertinya dilan sudah paham atas kesalahannya.. mgkin kedepannya dilan mendapatkan laki2 jauh lebih baik dan bisa menghargainya sebagai laki2..dan si laki2 tau harus paham kalau dilan orangnya seperti apa..dan maunya apa... intinya saling melengkapi,,,sibuk cari uang aja tak cukup untuk keluarga..."" ini menurut pandangan gua ya...silakan di balas dgn kata-kata yg sopan kita diskusi dan belajar dari kasus dilan ini semoga menjadi pribadi yang baik.. aamiin",Non-bullying
1 menit 35detik...yaelah.....geli juga belom...dah keluar......😂😢😅 kok bisa bunting yah anak orang ..jangan2...😂😢😅,Non-bullying
"1 VS 4 : 1 orang baik, 4 nya OKB gak sinkron lagi saling lempar sana sini.",Non-bullying
"1.5 milyar buat pengobatan NO
1.5 milyar buat biaya hidup seluruh keluarga besar YES",Non-bullying
1:00:20 sumpah gua ulang2 liat muka si Wawa yg maha suci itu pas ke badan pasien,Non-bullying
"1:03:37  teh Novi masih garis besari ""AMANAH DARI NETIZEN, Karena itu Berat di aku"" Masyaallah teh Tanggung jawab dan Kepercayaan no 1 yaa🥺🥺",Non-bullying
1:06:24 ekspresi teh novi sangat mewakilkan netizen,Non-bullying
"1:11:15 INI MAKSUDNYA YA! BUKAN MAU NGEBAYARIN UTANGNYA WAWAK BANG DENSU ITU! KALAU SAMPE 1M DIPAKE TEH NOVI, TEH NOVI BERHADAPAN DENGAN BANG DENSU DAN UANG 1M AKAN DIGANTI BANG DENSU.. ITU ARTINYA BANG DENSU MENJAMIN HAL ITU GAK AKAN TERJADI!",Non-bullying
"1:11:34 senyuman lebar wawanya dan bilang makasih, tau kan kalian arti senyuman itu 🫢🫢🫢",Non-bullying
"1:32 manusia manusia ngk punya moral ngk pantas tinggal di Indonesia,muka udah jelek hatinya busuk......",Bullying
"10 kali diselingkuhi cowo jelek bener"" SUPER DUPER NYAKITIN... uda Dilan Kamu Cantik & Smart Pantas Dapat Lebih dari itu... ❤🎉😊",Non-bullying
"100 juta ke 98 juta beda 2jt bu. Ga terimanya kaya selisih puluhan juta, minimal tau malu.",Non-bullying
"11:21 nasihat orang tua yang menjadi prinsip orang Makassar:
- Tallu cappa' parallu nikatitui, artinya ""tiga ujung yang perlu dijaga""
- Cappa' Lila, artinya ""ujung lidah (perkataan/ucapan, karena ketika kata-kata sudah lepas dari mulut maka bukan milik kita lagi)""
- Cappa' badik, artinya ""ujung badik (tindakan, merujuk kepada prinsip badik yang apabila sudah tercabut, pantang dimasukkan kembali ke sarungnya sebelum makan darah)""
- Cappa' katauang, artinya ""ujung kelamin laki-laki (nafsu atau dorongan dari dalam diri, maksudnya tidak mengambil yang bukan menjadi haknya)""",Non-bullying
12.15 tai lagi❓❓  aaaahhhhh gua mah angkat telinga om dad pengacara pansos,Bullying
"12:25
Om deddy : klau dia bilang tai di rmah lu ?
Farhat : Kalau dia ngejek gua ya pasti gua HAJAR 
ingat ya HAJAR bukan PUKUL 😂
Karna farhat tau kalau dia bilang PUKUL densu Bakal ngajak adu pukul di ring dan Farhat sendiri ga berani 😂 makanya masih menggunakan KATA HAJAR",Bullying
12:27 masuk jebakan Dedi,Non-bullying
"13:16 sekelas pro player aja bisa fatal kek gini, di turnamen besar pulak hadehh, gtau deh moga cepat berbenah rrq",Non-bullying
"13:16 Ujin ujin
Dh gw bilang tim ini cuma cocok jd tim penghibur
Dh ga respek hero ke banyakan mikirin counter  ujunng nya kalah 
Nt nt tim penghibur😂",Non-bullying
13:52 wujud asli kingdeym dikit2 rombak roster 😂😂😂,Non-bullying
15:42 idok lagi farming kumbang..pokok goblokkkk,Bullying
16:11 sutsujin simpan ulti untuk m7 taon depan,Non-bullying
"16:15 ""Raja dari MPL Indonesia""?? Gimana jadi raja? Juara aja enggak 😂",Non-bullying
"19.11 Ada cewe yg berlari,,,,,,, ""mas tolongin akuuuuuuueh""  😂😂",Non-bullying
"19:47 kadang orang jelek emang gatau diri, ga semua yaa tapi kebanyakan gituuu aoskwkk",Bullying
2:29 malah pake skill brodi,Non-bullying
"24:02 gak ada apanya
Donasi 1,4 lebih. 
Masuk ke rekening wawa 98 jt
250 jt sama istri si agus
Trus ada yang masuk rekening keluarganya juga
Awalnya mba novi cuma minta mutasinya aja
Karena ada indikasi penyalahgunaan donasi makannya di PINDAHKAN ke rekening yayasan. UNTUK DI KELOLA YAYASAN BUAT AGUS
UNTUK PENGOBATAN, nanti sisanya biar buat agus, di belikan kontrakan atau kos kosan agar ada pemasukan pasti tiap bulannya",Non-bullying
"26:32 salah agus dkk dia ga transparan soal uang yg masuk berapaa, pas akad jga buat pengobatan mata bkn buat WaWa",Non-bullying
27:00 menurut saya momen yg bikin orang males nolongin lagi,Non-bullying
"28:15 sejak kapan rumah sakit nggak menerima pasien non BPJS malah d alihkan ke BPJS aja karna lebih mudah, justru harusnya lebih mudah tu pake pasien umum bukan BPJS  😂 sepertinya perlu d undang nih pihak RS nya biar kelarifikasi",Non-bullying
"29:33 lohawalnya bilang seolah olah di ajak mbak novi itu beban, kondisi sakit atau tidak nyaman, tapi dipaksa masuk podcast ini itu. Pas di tanya lagi sama bang densu, jawabnya sama sama nyari jalan untuk cari pengobatan",Non-bullying
"3 tipe orang yang diundang di podcast ini. 

1. karena berprestasi atau viral
2. Karena butuh bantuan untuk masuk panggung
3. Agar terlihat konyol dan jadi hiburan


Silahkan untuk menilai sendiri yang ini masuknya di nomor berapa. kalau saya sih lebih ke nomor 3.",Non-bullying
32:34 pertanyaan bang densu bikin semua gelagapan..,Non-bullying
39.54 menit baru sadar baju Bang Densu gambar sinchan. Kiyowo 😅😅,Non-bullying
39:07 orang bego juga tau kayanya :),Bullying
"4 anak  manusia yg  berwujud setan ,",Bullying
4 babi lagi pada makan...ga lucu,Bullying
"47:29 dan sebelum2nya : ah bego lo ah! 
Itu beneran ikhlas banget ngomongnya om dedy ke lawan bicaranya 😂",Bullying
5 ekor anak babi laknat yang super kurang ajar.,Bullying
5 manusia sifatt iblis,Bullying
"5:51 oooh tau kenapa bang FA bermasalah sama kepribadiannya, ternyata memang salah di pengasuhan .. laki laki harga dirinya tinggi, kalo ibunya aja g menghargai sikap anaknya,ya mn terima",Non-bullying
51.49 katanya wawa gak ngerti soal duit 100 juta tu agus bilang glmana si,Non-bullying
"52:18
Pea sih gaada duit donasi mah loh gabisa bayar buat rumah agusss lol",Bullying
56:15 hbis nangis langsung senyum😂,Non-bullying
​@@Abrahamasli-belum-di-mualafkanlu kli buzzer bayaran komen dmna mna ngdkung kluarga ny agus..jgn2 lu kluarga ny agus..makan uang donasi mkanya dibelain,Non-bullying
​@@ワガンマオmasih ada yang jual gak ya di SD jaman now 😂,Non-bullying
"​@@AgamSykes aslinya draft buat main combo sama counter, sisanya tergantung player😂 draft bagus tpi player jelek yaaa percuma😂",Bullying
"​@@AgamSykesOh bener. Tentu aja kali ini kalahnya bukan karna draft.. karna bukan acil yg ngelatih. Kan tipikal haters acil kan gitu, skrg kalo rrq kalah udh gaperlu nyalahin coach saat ini 😮😂",Non-bullying
​@@ahmaddika926nangis pojokan??,Non-bullying
​@@ajoanna9396gua juga pikir cwo jelek tuh setia anjir soalnya jelek itu bakal ga berani berbuat macem macem eh ternyata rata rata yg jelek bertingkah anjr,Non-bullying
​@@AzaleaChanel14dimana liat nya kak,Non-bullying
"​@@Blstonelvrisi kepala kau aja yang harus diketawain, isinya taii semua",Bullying
"​@@kopikoplak5540 yow silahkan penjajah kristen masuk. Tapi yang pertama kami gorok ya orang-orang kayak lu yang pastinya jadi penghianat. Lo kagak tau Noh dikalbar sana ada yang berucap tanah orang kafir waktu ustad masuk. Noh dipapua bawa2 tanah yang dijanjikan. Kaum Lo tu yang norak, songong. Jangan Lo harap cekcok kayak gini bakal berenti karena dari kalian sendiri yang terus mematik api. Noh debat dikomen gwa aja jangan dikomen orang lain",Bullying
​@@kopikoplak5540pinter tai babi lu sipitt Bangsadd... Belagu lu cmn numpang lahir doang d negri ini... Bangke luu sipitt 😂,Bullying
​@@kopikoplak5540ya mengecam berarti masih ada rasa kemanusiaan..kalau yang bela israel iblis,Bullying
"​@@Kyrizangua nyampe bingung,dia berantem atau joget tiktok😅",Non-bullying
​@@lilislismawati2708Iya jir ampun dah😂,Non-bullying
​@@m.adzikurniawan130 Satria pakek jurus apa itu bro namanya wkwkwk,Non-bullying
"​@@MamadowskiiIA BRO BNR , GEDEK BANGET LIAT MAIN NYA GITU GITU AJA GAK ADA BERUBAH NYA , PELATIH NYA JUGA GAK BEDA JAUH DARI SI ADII",Non-bullying
​@@Nurjaman_46gua sih malu ya kalo kalah karna cara mainnya begitu 😂 dibandingin sama keponakan gua juga lebih bisa cara mukul keponakan gua deh 🤣,Non-bullying
​@@pane4097lu gua bayar mau ga? Lu jadi pengalih bom di rafah sono kalo daerahnya mau dibom lu jadi targetnya gua bayar mahal deh kyknya lu mantep buat basmi telolololis wkwkwkwk,Non-bullying
"​@@Razeinkov setan itu makhluk, kalau anda bukan muslim saya maklumi",Bullying
"​@@sifafauzia169bener bgt kak. Laki2 itu harga diri dan ego mereka lbh tinggi dr perempuan krn mmg fitrahnya mereka sprt itu. Hipotalamus mereka lbh besar 2,5x dr perempuan. Laki2 diciptakan sbg qowwam bg keluarganya DGN cara MENAFKAHI mereka. Ini terbalik. Menurutku dua2nya belum paham makna suami dan istri. Dan iyes ini mmg gak mudah bgt dlm situasi terbalik sprt ini. Rasulullah dan khadijah ra adalah contoh terbaik suami-istri yg posisi awalnya timpang bgt tp keduanya mampu menepis ketimpangan yg ada hingga bisa menjadi pasangan terbaik. Selama bersama khadijah, Rasulullah tdk pernah berpoligami, Bahkan lama setelah khadijah wafat, Rasulullah msh menangis manakala mengenang istrinya.
Balik lg ke kasus dilan, se-alpha2 nya istri, suami adalah qowwam yg secara lahiriah diciptakan untuk itu. Menurutku kunci utamanya ttp ada di suami dgn cara bekerja.",Non-bullying
"​@@Sliferskyinget gw pas liquid ketemu Aurora ,rata rata pens ererki malah dukung Aurora wkwkwkw mamam tuh sekarang malah tlid yg masuk grandfinal sama fnop",Non-bullying
"​@@vdeviiayu8505bener, agak ga setuju kalo dibilang cewe realistis",Non-bullying
"​@@voldemort56Goblok, apa hubungan nya anak indo dan anak palestina? Logika macam apa diotak kau. Bego boleh jelek boleh tp otak dipake njing",Bullying
​​@@diwamadumhidayat7640beteng+gaya walang kadong🗿,Non-bullying
"​​@@Dylan-c9vga dong.. dia ga nangis disana sini, menye2 kaya cewe lemah.. dia cmn sedang menceritakan bahwa ternyata emng ada cowo brengs*k yg ga tau diri",Bullying
"“Selingkuh itu bisa terjadi bukan hanya karena kekurangan, karena kelebihan kita juga bisa karena dia ngerasa ga bisa jadi laki-laki” No wonder kenapa cowo selingkuh, selingkuhannya jelek mampus 😂",Bullying
Aamiin..​@@ellysetyorini452,Non-bullying
Abg2 skr emang goblok2🤣... bercanda ga tau batas... biasanya model begini calon2 jadi pelacur,Bullying
"Abis nangis ngerasa di fitnah, tiba-tiba nyaut 2 juta siapa yang nambahin pake ketawa",Non-bullying
Acting itu keluarga..yg satu pura2 buta..bini nya pura2 mengurusin laki...ambil semua donasi...buat apaan sakit pake bpjs klo donasi banyak malh jd ajang mumpung...tolol...bukan mati aja sekalian..kasian teh nopi ama densu kaya ngemis tp salah disalurin,Bullying
"ada 3 jalan penghapusan dosa manusia oleh Alloh SWT
1. Ujian Hidup
2. Di dzolimi
3. Taubatan Nasuha

Bang Farhat silahkan pilih yg mana, atau dilakukan semua 😂🎉",Non-bullying
Ada gak ya orang yg mau dibela sama FA kalau punya kasus? Tapi bayar gtu 😅,Non-bullying
Ada kemungkinan juga yang tf ke agus bisa melaporkan agus karna dia tidak menggunakan uang yg disumbangkan digunakan yang benar? bisa jadi penipuan gasih? kasus hampir mirip kayak arisan online,Non-bullying
Ada manusia punya kepala tapi isinya TAi inilah contohnya.,Bullying
"Ada tiga jenis orang yang bisa diundang ke podcast om ded , yang berprestasi , yang pintar dan yang lagi memperjuangkan keadilan , saudara FA termasuk golongan yang keempat",Non-bullying
"Ada wajah2 mereka disitus lainnya,,, cuiihh jelek Cok wajah dibawah rata2 semua.. sok2an",Bullying
"Ada yang bisa bantu gua summary kasus ini begimana. Kenapa FA sama Densu jd keseret² ?

Sejauh yg kmrn gua tau donasi Agus difoya² sama keluarga Agus. Dan akhirnya uangnya ditarik lagi sama yayasan mbak Novi.

Terus kok tiba² ada FA sama Densu?",Non-bullying
Ada yang tau kasus apa yang pernah di pecahkan oleh FA ini 😮,Non-bullying
aduh ajg cringe banget babi itu dia ngapain si wkwkwkwkwk,Bullying
Aduh bang Ded kepa ga yg lain narasumber nya biar saya bisa full nonton sampai ahir .kalau ni tu bikin males nonton sampai ahir,Non-bullying
"aduh bu,setauku dr bpjs labgsung pindah pakai umum itu gampang bgt..dan keluarga harusnya ngomong kami ad uang gt kan.",Non-bullying
"Aduh,gak jelas ini...masa bgtu doang😅",Non-bullying
"Aduhhh 
Aku dengernya depresi berat banget.",Non-bullying
Aduhhhhhhhhhhh serem bnget gw aaaaaaaa duit segitu bnyk masih pkek bpjs 😢😢😢,Non-bullying
Aga kecewa si karna maliki tdk bikin si cogil koma 😂😂,Bullying
Aga Laen kalian ini ya Wawa 😂,Non-bullying
"Aga mirip babi ya,???. Ya ga sih?",Bullying
Agama apa yg di anut ga pnya pri kemanusiaan asu,Bullying
"agama apapun yang kalian anut seharusnya tidak demikian,didikan dan doktrin setan apa yang membuat kalian begini,apapun agamamu ini tentang kemanusiaan",Bullying
"Agama kau sakit jiwa. Islam akan membentuk mentalitas kau menjadi “kita-lawan-mereka”, yang bisa menimbulkan konflik dengan masyarakat yang lebih luas. Mentalitas “kita-lawan-mereka” ini sangat kuat. Kalian menyebut non-Muslim—apapun agamanya—kafir, sebuah istilah yang merendahkan, yang artinya penghujat tuhan. Bagi Islam, dunia selamanya terbagi atas Dar al Salam (Rumah Damai yaitu Islam) dan Dar al Harb (Rumah Perang yaitu non-Islam). Negara-negara non-Muslim adalah Rumah Perang. Menjadi kewajiban bagi tiap Muslim untuk berperang di Rumah Perang, untuk bertempur, membunuh dan menundukkan non-Muslim dan mengubah tanah mereka menjadi Rumah Damai. Damai, menurut Islam hanya bisa dicapai dengan menundukkan semua non-Muslim dan membuat mereka takluk pada aturan Islam. Idenya bukan membuat semua orang masuk Islam, tetapi membuat Islam menjadi dominan. Non-Muslim boleh terus mempraktekan agama mereka, tetapi hanya sebagai dhimmi, sebuah istilah yang artinya terlindungi dan hanya diterapkan kepada Kristen dan Yahudi. Orang Kristen dan Yahudi akan dilindungi, asalkan membayar uang perlindungan, yang dikenal sebagai Jizyah dan mau dipermalukan dan ditaklukkan, seperti yang dinyatakan dalam Quran. Jika mereka gagal membayar Jizyah, mereka bisa diusir atau dibunuh. Inilah mafia agama. Jika kau punya bisnis, kau bisa diganggu atau bahkan dibunuh, kecuali kau bayar uang perlindungan agar bisa berbisnis. Sedangkan bagi orang yang tidak percaya dan tidak dilindungi, seperti kaum pagan, Ateis, Animisme, Hindu, Budha dll,—kalau tidak mau masuk Islam, ya mati. Ya, Islam tidak diciptakan untuk mengajar manusia secara spiritual, tidak juga membuat mereka dicerahkan. Pesan spiritual dalam Islam hanya sampingan atau hampir-hampir tidak ada. Kesalehan dalam Islam berarti harus meniru Muhammad, manusia mesum haus darah yang jauh dari saleh. Ritual seperti sholat dan puasa hanya pakaian belaka untuk memancing orang-orang bodoh agar masuk, hanya untuk memberi Islam penampilan luar, jadi seakan terlihat keramat dan penuh spiritualitas. Betapa kejinya Islam !",Bullying
AGUS ASU😂😂,Bullying
Agus berasa jadi Sultan bagi2 duit,Non-bullying
Agus buta tapi maap perkataannyapun tidak bersyukur,Bullying
"Agus ini memang anehhh,
Anehnya luar biasaa
Yg nyiram dia, dia maafkan
Yg bantu dia di musuhii..
Sampai lapor pengacara
Agus aguss lisan muu memang bener bener berbahaya...",Non-bullying
agus kek bencong woii,Bullying
Agus lapaaaar bukkkkk 😭😭😭😭,Non-bullying
"Agus lo ktanya mau cepet di tangani , tapi masih pake BPJS ,duit udah banyak lu malah di bagi bagi ,parah .. orang yang tidak bersyukur lu",Non-bullying
"Agus mau pulang k aceh,gpp wawa biarin aja,agus udh maafin kesalahan dia ,biarin wawa,itu krna lidah lisan agus sudah brbuat seperti itu,
Cuman agus kepengen,agus mau gunain uang donasi itu buat kehidupan agus sama istri agus , boleh agus ambil gt ketika agus pulang ke aceh 😆😆😆😆",Non-bullying
AGUS MENANGIS PUTAR BALE!!!,Non-bullying
Agus meresahkan kan,Non-bullying
"Agus mo plang, dia mo minta duit donasi mo d bawa🤣",Non-bullying
Agus ni di gobl*k gobl*in kluarganya,Bullying
Agus pintar ngomong bela keluarganya......ngibul terus,Non-bullying
"Agus sendiri mengakui...gara"" omongan dia sendiri dia jadi begini...Mulutmu Harimaumu",Non-bullying
agus taii,Bullying
"AGUS UDEH LAKUKAN PENGGELAPAN/PENYELEWENGAN DANA/KORUPSI DUIT DONASI MILIK PARA DONATUR 1,5 MILYAR !!!",Non-bullying
"Agus yang di siram 
Namanya siram agus
🎺🎺🎺🎺",Non-bullying
Agusnya jg kok kesanya gimana gitu....apalg keluarganya.mbk Novi...dr bicaranya lembut...sesuai dgn hatinya...ya mf aja..Muang segitu banyaknya...bs jg nti buat riungan....tau teh Novi yg bntu cari donasi kok ada curiga...gegara uang...lha itu kan uang donasi tho...,Non-bullying
"Aguss sedihhh alahh bacott, kita kasian tapi berubah jadi bodoamat, galak kan si ibu ini dari pada teh Novi, tarik aja semua donasi yang adaa ituu, Enekggg guee",Bullying
Ah gk seru maliki kurang semagat tojosnya,Non-bullying
Ah orang ada vidio nya densu ke dia siapa yg nyuruh masuk aneh,Non-bullying
Ah si cogil gk sampe di amputasi idung nya😊,Bullying
"Ah tdk begitu ceritanya...salah farhat tdk menyimak dari awal
...pengacara bego menjelaskan aja tdk jelas,,",Bullying
"ah yang benar lo deny pro ke elu,bilang novi ke gth,klwnga terbukti lu masuknya fitnah lo bro hyo loh tanya deny skrang",Non-bullying
"ah, omongan besar di belakang. introspeksi lah, biang masalahnya jadi melebar dan makin runyam ya karena ini orang ikut campur, NPD ya? menyerah di menit 10, ga kuat masuk telinga 😒",Non-bullying
"Ahahaha, denyut g tuh..",Non-bullying
"Ahhh ibu wawanya itu vokal banget ngomongnya😅😅, agus mau pulang keaceh aja gak boleh biar makin terutang budiii sepertinyaaa😅😅",Non-bullying
Air matanya mana bu wawa 😆,Non-bullying
AJ aja Ga BS Kaya dilan .. Keren emang Ni cewe ...,Non-bullying
"Ajak tuh bocah jalan jalan kesono, biar liat darah..amis rusak. Sepi. Bom , ktmu idf trus u seneng ehehe  yg ada pala u di getok. ma mreka. Masih kecil pikirin agama lu aja ikutin ajaran nya yg bner.. tolol luh, ulah goblog luh bnyk tar faktornya bukan palestin, negara lain.. hemmh bocah otak konten kg urus",Bullying
AJARAN SETAN YAAA.. BEGITU. GILAAKKKK  SIII,Bullying
Ajg bnget saf ini mirip mantan laki ku😅lubang (lugu” bangsat),Bullying
Ajg yg pake kacamata kek b*bi,Bullying
Akan kah masih menjadi cogil? Satria?,Bullying
"Akhirnya ditangkap,lalu mewek  pasang muka sedih sambil minta maaf.Memang berhati iblis mereka.",Bullying
Akibat ketololan kalian negara yg menjadi malu.di mata rakyat palestina,Bullying
"akibat punya hewan peliharaan tapi gak bisa nyiapin kerangkeng, akhirnya masuk fasfood restoran dan bikin ulah.",Bullying
"AKkibat  sering makan makanan haram jadi tolol otaknya gk bisa bedain yg benar n salah,,keluarkan dari sekolah ny  kl nama baik sekolah mau di bersihkan..di amerika,inggris n nagara2 non muslim byk yg pada demo,,ini israel  pesek brani2nya menghina,,keluar lo sana ke israel kl gk mau hidup di indonesia...",Bullying
Aklak dan moral bejad ...  Dasar anak anak haram,Bullying
akting yang bagus ni,Non-bullying
Aku ada di posisi dilan dan merasakannya sakit bgt pokoknya kita cari duit kita bucin sekali eh dianya lempar tai ke aku dan keluargaku anjirr,Bullying
"Aku baru ke tiktok nya mereka dan aku lihat cowoknya kok memang org kasihan,udh ngk ganteng, mukanya pas pasan kok bisa ya nika sama wanita sehebat ini??
Heemmm bukannya bersyukur malah nunjukin ke goblokannya lagi 😂😂😂
Waduhh parah Daaaa.
Woii kau sifffff ngaca skrg yaa",Bullying
"Aku bingung,awalnya bilang kriminal ga bs pake bpjs,kok jadinya pakai bpjs",Non-bullying
Aku gak kenal siapa mereka tp pas liat obrolan nya seru cewe sekuat itu wkwkwkwk aku follow ah 😍,Non-bullying
Aku kenal rrq dari lemon,Non-bullying
Aku kesini karena pengen liat ketololan fa  depan bang dedy 😂,Bullying
"Aku kok salfok sama ibuk"" bawa tasbih tapi gak di gunaiin cuma si buat main"" aja🤦😂😂😂",Non-bullying
Aku lebih setuju masukin kandang macan langsung jelek anaknya,Non-bullying
Aku pikir wanita seperti bidadari ..ternyata ada juga  setan berbentuk wanita..,Bullying
