Komentar,Kategori
Mukanya kalau gak dibantu kamera dekil dan kumel,Bullying
"Semua wanita cantik, jangan suka merasa lebih ah",Non-bullying
Meldi udah dapat kontrak endorse skincare ya tapi kok mukanya tetap jelek si?,Bullying
Gila Netizen pada sempurna ngehina orang terus,Non-bullying
Semua dah pada ngembang… habis di berapa cowo meldi?... enak ya di otak atik,Bullying
Karena muka kayak elo pasaran dan murah…,Bullying
Muka buluk kepedean lagi.. muka udah tua,Bullying
Muka lu kaya tai wkwkwk,Bullying
Sakit jiwa ini upil gajah… Kasihan,Bullying
Jelek macam buntut kuali hahaha,Bullying
Meldi tambah kurusan sekarang ya??? Cantik walaupun tanpa make up…,Non-bullying
"Elu juga semoga semakinlebih baik dalam segala hal, terutama akhlak dan etikanya",Non-bullying
Mbak mell sehat dan sukses ya,Non-bullying
Aamiin. Doa baik juga untuk Meldi,Non-bullying
"Selamat tahun baru mbak, semoga jadi pribadi yang lebih baik amin",Non-bullying
Meldi ini lama lama cantik loh tinggal dibenerin akhlak dan adabnya pasti makin sip,Non-bullying
Pengambilan fotonya sudah bagus mantap dan keren.. tinggal pengambilan ARWAH nya aja yang belum,Bullying
Nggak ada cantik-cantik nya hahaha,Bullying
"Kasian editornya sih ini, nanggung dosa banget kayaknya ngeditnya offside gini",Bullying
Lama lama mirip dewi persik ya,Non-bullying
pada julid padahal kan meldi gak nyusahin kalian,Non-bullying
ini foto apa w masukin museum aja ya ga ada pantas2nya,Bullying
Nggak ngumpul bareng mami isa lagi kan kamu yang paling gembrot disana,Bullying
Lagu lu ga ada yang laku ya mel??,Bullying
Lututnya masih hitam gosok maning biar tambah cling dan cantik,Bullying
"Suka heran sama warga +62 sukanya ngehujat orang mulu, dapat pahala kagak dosa mah iya",Non-bullying
Tambah cantik aja rosa meldianti,Non-bullying
"Jadi diri sendiri, jangan jadi ular apalagi dugong",Bullying
Saya kok suka ya sama mereka harmonis,Non-bullying
Cantik banget kalau pakai baju kayak gitu,Non-bullying
Jujur ya kamu kalo anteng ga buat masalah cantik mel,Non-bullying
Cowoknya ga ada cakep cakepnya,Bullying
Di foto tirus.. Kalo di video wariorr kok mukanya kek donat gak ada bentuknya,Bullying
"Dari sekian banyak foto yang diposting, ini yang paling cantik",Non-bullying
Artis abal-abal.. Muka putih tangan hitam… ager2 ATM nya udah isi berapa sekarang,Bullying
Itu muka kayak penuh tekanan banget,Bullying
@rosameldianti_ cowokmu wajah nya culun dan cupu kayak om2,Bullying
Masyaallah cantik terlihat sopan dan anggun,Non-bullying
Kang ojek kali belang tangannya,Bullying
Seneng liat pasangan ini cewenya di hujat 1 indonesia tapi dia tetep setia nemenin,Non-bullying
Dia memutuskan menjadi tumbal apartment,Bullying
"makin cantik mel, semangat dietnyaa",Non-bullying
Itu tangan apa paha haha….,Bullying
Mel disini kamu keliatan cakep,Non-bullying
Mukanya kayak lagi ngeden pas boker,Bullying
Aduuh.. terlalu halu.. hhahaha lebay editan nyaa lemak kemana lemak… hahhaaa.. mimpi ketinggian..,Bullying
"salfok sama kaki, tapi cantik banget asli",Non-bullying
"@_dy1412 buset cantik diedit aja mba, coba dah aslinya dah kayak buntelan kentut…",Bullying
"atas bawah hitam putih, kek kopi luwak",Bullying
"Palsu badane diedit semua tu, aslinya dimana2 lemak",Bullying
Udah dapat kontrak dari skincare ttp aja buluk mel,Bullying
heran sama netizen klo gk suka jangan diliat aja,Non-bullying
sukses selalu yah ka @rosameldianti_ semangat,Non-bullying
Jujur aku lebih suka meldi yang sekarang daripada yang dulu suka ngehujat orang,Non-bullying
sumpah aslinya muka lo lebar kayak baskom loh mel @rosameldianti_,Bullying
Berkarya teros meldi walo ga ada yg nuntun kamu.,Non-bullying
"Astaghfirullah, seram sekali ya bun seperti ular jelmaan makhluk halus ya bun",Bullying
"Dan yang paling saya heran cowokpun ikut ngebully, sabar meldi.",Non-bullying
Astaga… Ratu edit muka.. Sumpah seren kayak film setan2 gitu…..,Bullying
Matanya kayak katarak anjir AHAHAH,Bullying
"Caption aja COPAS! Cantumin credit dong, dasar iblis",Bullying
Unfoll aja daripada kalian dosa ngebully2 terus..,Non-bullying
Meldi aku perhatikan kamu seperti orang china deh.. cantik,Non-bullying
"Editan softlensnya keluar itu mbaknya, kayak ratu titisan ular kamu wkwkwk",Bullying
Kasihan ular dibawa bawa kamu gak pantas jadi ular pantasnya jadi bunglon atau buaya..,Bullying
Maju trus ya sayang.. abaikan orang2 yg comment menyakitkan,Non-bullying
Kasihan ya kamu @rosameldianti_ Hidup sekali cuman buat bahan hujatan masyarakat… Mubadzir banget deh hidup lo… Napa gak bunuh diri aja?,Bullying
"Semangat mel, bahasa asing mah yang penting kita berani pasti entarnya bisa",Non-bullying
Beda sama d foto yaa.. Disini lebar banget mukanya maaf itu kalau foto editan ya,Bullying
"Meldi meskipun kadang mulut ku tak bisa di rem karena kehaluanmu, tapi aku bangga akan berusaha mu, yuhuuu",Non-bullying
Lupa di edit ya tu muka melar,Bullying
"Semangatt, kesalahan dalam belajar bahasa asing itu penting. Karena itu pembelajaran utamanya, supaya kesalahannya ga terulang",Non-bullying
Kereennnn.. dari bully.an netizen menjadikanmu mau belajar,Non-bullying
Hiiihhh jiik lihat nih orang… auranya buruk bgt gak ada manis manisnya,Bullying
Semangat untuk belajar ya… saya uga gak bisa bahasa inggris,Non-bullying
Yang penting ada niat.. dan keberanian,Non-bullying
"Salut Mel.. semangat belajar, yg ngetawain juga belum tentu bisa Dan berani..",Non-bullying
Gpp Mel semangat buat belajar trusssss jangan gampang nyerah pokoknya @rosameldianti_,Non-bullying
Setidaknya dia ngaku. bukan belagak pintar,Non-bullying
"Masih jauh kalo ngarep bisa ikutan kontes miss earth , makanya dari kecil les inggris biar lidahnya gak keseleo",Bullying
Cuma di postingan ini ya bund netizen sedikit yang menghujat,Non-bullying
"Happy birthday Mel sehat dan Sukses yah, Aamiin",Non-bullying
Happy Birthday kak Meldi yang imut n ngegemesin. Tambah sukses selalu,Non-bullying
Ya ampun ketiak dan lemaknya editan parah wkwk,Bullying
"Ketiaknya habis di amplas mel, alus banget",Bullying
"Udah diedit gitu, ketiak lu tetap hitam",Bullying
"Selamat ulang tahun mel, udah yah jangan banyak tingkah",Non-bullying
Mukanya kuning banget kaya kunyit,Bullying
Selamat ulang tahun meldi sukses dan sehat terus ya….,Non-bullying
"Fotonya lainnya jangan yang ini, kan masih banyak yang lebih cantik ihhh biar gak kena hujat kamu ihh, aku mah kasihan",Non-bullying
HBD meldi… Semoga sukses selalu dan panjang umur dan rejekinya di lancarkan.. Amin,Non-bullying
"Perasaan kemarin lengannya kekar banget kek petinju, udah gitu ketiaknya juga hitam. Kok difoto ini lengannya jadi kecil, ketiaknya putih kek dibedakin",Bullying
"Selamat Ulang Tahun kak @rosameldianti_, banyaknya sadar dan jangan pansos lagi yah. Amin",Non-bullying
Hbd cantik semoga kedepannya tambah sukses,Non-bullying
Hbd mbak mel tambah cantik di panjangkan umurnya dan sehat selalu,Non-bullying
berdiri di kaki sendiri lebih baik,Non-bullying
Biar di edit2 kaya apa juga tetap aja ketiak hitam nya ga bisa di bohongin,Bullying
Sumpah demi apapun.. Lengan nya gede banget,Bullying
Selamat ulang tahun panjang umur sampai ketemu dajjal,Bullying
"Ketiak hitam buluk mau lu edit nutupin daki diketek lu tetap aka hitam ketiak lu, dasar Dugong @rosameldianti_",Bullying
Di atm tinggal 150 ribu aja banyak gaya lu dugong,Bullying
Gak ada bagus2nya suara dan polanya….,Bullying
Si Meldi jelek aja banyak gaya. Beda banget sm tante n sepupunya yang udah jelas2 cantik,Bullying
Tapi dia sekarang dah berubah gak kayak dulu kalau yang gue lihat,Non-bullying
Ngedit ketiaknya berapa lah dah itu ya ampe ngeblur pisan.. Putihnya kek cat tembok,Bullying
Aduh dugong masih aja gila filter….,Bullying
"Sekarang bukan muka aja yang didempul, tapi ketiak juga",Bullying
Kasian kebelet artis tapi gak punya bakat,Bullying
"Yang merasa peliharaannya lepas, tolong diangkut",Bullying
Miris banget… ultah bukan didoain yang baik2 tapi tetap di bully kasian !! God bless u mel,Non-bullying
Mudah mudahan lu jadi gembel. Amin ya Allah,Bullying
Ketiaknya hitam dikasih bedak jadi nya abu monyet,Bullying
"Heran gua mah kalau gasuka gausah di follow dah tau ni akun private kalo lu tetap follow dan ngebuli tanda nya lu sirik. Gasuka ya gausah diliat, kaya dirinya sempurna aja",Non-bullying
Gua berharap lu aja si yg sakit bukan laura lol,Bullying
Harusnya lo aja yang menderitaaa bukan lora anj!!!!!!!!!,Bullying
"GAGA SEMPET BENERAN LORA LO TINGGALIN, LO ORANG PALING JAHAT GA!!!! LO GAK BAKAL BAHAGIA GA",Bullying
Lu bener' ga.kalo sempet nyakitin lora gue santet!!!!!,Bullying
Si gaga kok kek anjing,Bullying
"Semangat gaga, jangan liat kebelakang fokus aja kedepan, masih muda masih banyak yg lebih baik juga.",Non-bullying
Gak ada cantiknya. Gila yang ada,Bullying
"meldi makin bersinar yaaa, pertahanin karir jgn di sia siain",Non-bullying
Tetap semangat…. sebaik apapun kamu akan dalah Dimata pembenci…..,Non-bullying
Asli gak ada bebet bobo ni anak. kasihan sekali.,Bullying
kumat… lama semedinya segini keluarnya,Bullying
Tangannya hitam… beda ama muka,Bullying
Kok meldi di foto aku gendut beda,Bullying
"Gatau sih, cantik tapi gak ada aura nya sama sekali . Cantik tapi idih gitu lihatnya , kenapa yaa ??",Bullying
Baik buruk nya kamu akan tetap terlihat buruk di mata mereka yang ga menyukai mu..,Non-bullying
"Gila ni siluman,, di story orang lain keliatan banget tumpukan2 lemaknya, buriknya apalagi",Bullying
Dasar Bego lu.. gua jijik sama lu bro kayak gak punya otak banget,Bullying
Lo kira lo bagus tuh begitu anjing wkwkw,Bullying
Di maafin aaa… semoga dia jera untuk kedepannya…,Non-bullying
Eh bocah mending Lo mati aja GAK guna juga ada orang kayak lo hahahahaha,Bullying
Btw yang video tapi boong itu dia buat nya tahun lalu bukan pas masalah yang sekarang kalau gak percaya lihat tribun news jadi jangan hujat dia lagi ya,Non-bullying
"Okay bro kalem aja, tetap semangat dan jangan putus asa",Non-bullying
Lu Mati ajalah . Udah biar gak bikin ribet,Bullying
SAMPAH MASYARAKAT HARUS DI MUSNAHKAN SEGERA,Bullying
MATI KAU NAJIS KONTOL BANGSAT MATI KAU,Bullying
"youtuber toxic, tutup akunmu sekalian tutup usia",Bullying
Pada ribet kayak udah pada benar aja lu semua,Non-bullying
Jangan ada hitam diatas putih. Langsung proses,Non-bullying
Kalau sayang sama anaknya ya di serahkan aja ke polisi biar di didik sekalian,Non-bullying
Manusia apa hewan sih kok gak punya hati banget,Bullying
Manusia anjing. Nyari uang gitu amat. Lo kerja aja sama gue nyebokin gue ntar gue gaji lo.,Bullying
maklum anak kurang pendidikan kayak gitu gak punya akhlak,Bullying
Anjing memang anak gak tau diri. ibunya sampai nangis2,Bullying
oi babi gue bunuh lu kalau sampai kelihatan sumpah,Bullying
Heee sampah lu udah gua maafin TAPI BOONG GOBLOK,Bullying
ANJING SINI LO BAKU HANTAM AYO,Bullying
Bangkit ya bang jangan lemah buat pelajaran dan ujian buat lu jadi yang lebih baik lagi bang,Non-bullying
Jangan patah semngat kak sukses terus,Non-bullying
"Semangat Ferdian gausah dengerin orang yang hujat kamu, karena semua manusia tidak luput dari kesalahan",Non-bullying
Sumpah sekarang aku respect banget sama kamu,Non-bullying
"Menurutku pribadi, dia tulus minta maafnya….",Non-bullying
DIKASIH BIDADARI MAUNYA BONEKA SANTET,Bullying
"Ilang respect gue.. padahal jane udh setia bgt sama lu, tapi lu nya main cewe pas udh keluar dri penjara.. lol",Non-bullying
Hapus ajh ni poto ngk tau malu bgt lu bang,Non-bullying
Intinya gasuka ajg selama ada listy . Ngrusak suasana,Bullying
Di foto ini ada 2 anjing dan 1 kontol,Bullying
"kasian banget Jane udah nunggu keluar penjara eh taunya :), waw sakit siih",Non-bullying
Puny cewk baik di selingkuhin g ngotak,Bullying
"Inget yg di potong itu masalah nya bukan hubungan nya, tapi kalo udah gini sembeleh aja orang nya :) udah terlanjur kecewa",Bullying
Ini buat konten.. masa putus foto tabi sama jessica engga dihapus ?,Non-bullying
Tiap mau makan dibikin ama jess tpi malah ngehianatin gila sih,Non-bullying
Parah lu bang nama lu udh rusak karna narkoba malah nambah masalah ajh truss,Non-bullying
Ini anjing Kok mirip ya sama Erick,Bullying
Muka Pasan sok sok an mau sm lonte lo anjing,Bullying
"Lu sama anjingnya, lebih baik anjingnya",Bullying
IH ADA BABI JGN MEGANG TUH ANJING HARGA DIRINYA LEBIH TINGGI DRIPADA LO,Bullying
"Santuy aja bang ga usah di tanggepin,btw gw suka gaya lo",Non-bullying
"Narkoboy kontol, Cuma bisa maen cewe sama nyakitin doang lu anjing, mati aja lu bego",Bullying
TETEP PENJARA AJA AJG NYUSAHIN LO KELUAR,Bullying
"cewe cakep, setia kok disia sia in sahabat",Non-bullying
loh kok ak liatnya anjing semua yaa,Bullying
"Anjingnya ada dua kok guys, tapi kok lagi satu gue liat ada babi item",Bullying
"Mantan Anjing, eh kebalik anjing mantan",Bullying
Bikin skandal karena kepengen tenar?,Non-bullying
Wiii anjay kapan lagi liat babi megang 2 anjing,Bullying
Ini adalah foto babi sedang memeluk anjing yg pemilik nya adalah bidadari,Bullying
"Babi g pantes nyentuh anjingnya bidadari, nanti kotor.",Bullying
SESAMA ANJING FOTO DULU YA KAN,Bullying
potret seorjing memegang anjing kwkw,Bullying
HEH UDH NAPA HATE NYA CAPE GW BACA NYA,Non-bullying
WADUH MALAH LEBIH GANTENG ANJINGNYA. EH EH BAHKAN LU GA PANTES DISEBUT ANJING. ANJING KAN SETIA PANTESNYA SIH BABI HAHAHAHA,Bullying
"kalo lomba samaan sm babi, babi nya nmr 2",Bullying
Si anjing ketika berfoto dengan si anjing,Bullying
Kak jessica yg nungguin+setia sm kk loh pas ad masalah kmrn. Tapi kk ga ngehargain malah lbh milih yg d sono,Non-bullying
erikontolim manusia babi anak lonte,Bullying
HARGAILAH HATI WANITA YANG UDH TULUS NEMENIN LO DARI 0!!!,Non-bullying
Tapi bagus sih erick mutusin Jessica ya karna Erick kelakuan ny begituu coba liat Jessica,Non-bullying
"Anjing sekarang hebat ya, bisa pake kacamata",Bullying
Sdh lh nasi udah jdi bubur ga bisa lagi dibentuk kek semulaaa,Non-bullying
"Kukira kehadiranmu akan menjadi sesuatu kebanggaan, ternyata tidak",Non-bullying
Ada 3 Ajg Dan Yg Punya Tato Bener2 Ajg,Bullying
"dasar orang tua gada akhlak,ngajarin anaknya yang ga bener",Bullying
Erik kenapa sih? Ada yang bisa jelasin gw ga update soalnya.. maap2,Non-bullying
Eh jangan dekat dekat sama anjingnya ci Jessica gua lempar lu,Bullying
guys dr pd comment2 mending unfoll sm unsubscribe aja yaa,Non-bullying
Babi lagi main ma anjing :),Bullying
Dikasi BIDADARI MALAH PILIH BABI,Bullying
Postingan pertama jg dihujat dong gila netijen,Non-bullying
BARU KALI INI LIHAT ANJING SAMA BABI BAIKAN…,Bullying
Dikasih bidadari malah milih setan,Bullying
"Padahal gw g mau benci ama lu bro, tpi ada aja tingkah lu yang melenceng:(",Non-bullying
SIKAP MU LEBIH NAJIS DARIPADA LUDAH ANJING!,Bullying
Njir meskipun udh lama nih poto di post tapi masih banyak yg komen baru2,Non-bullying
kesini cmn mo liat komen aja,Non-bullying
Buset hate comment ampe postingan paling bawah,Non-bullying
Foto di upload nya 20 maret yang comment 1 jam 2 jam 3 jam yg lalu,Non-bullying
Pantes banyak utang buat bayar lonte,Bullying
2 3 tutup botol muka lu kek kontol wkwk,Bullying
astaga masih pagi dibikin ngakak ama komenan netijen yg ngmng suka bener,Non-bullying
Dah lah. Gw capek baca komen kalian,Non-bullying
Keliatan bgt anjingnya ketakutan foto sama dakjal,Bullying
Astaga ngehujat sampe postingan paling bawah,Non-bullying
Lebih najis elu daripada anjing!,Bullying
2 ekor anjing dan satu buaya makan jambut,Bullying
Kalo disuruh melihara anjing/eric gw pilih anjing aja meski Najis tapi lebih najisan erick kontol,Bullying
Ngapain si pada ngejudge? Mikir dulu lah dia putus juga sebelum kejadian itu tolol,Bullying
Hargai wanitamu dia didekati banyak pria tetapi tetap memilihmu,Non-bullying
"Ternyata sipat anjing bukan hanya ada di anjing doang ya,di manusia sipat anjing juga ternyata ada",Bullying
Potret ketika anjing poto dengan setan,Bullying
BANTU BEDAINN WOYY MANA ANJING MANA BABI,Bullying
Udaah woii udahh lu gak kasihan apa…. Aku capek ngelike komenan kalian,Non-bullying
"3 anjing 1 anjing berwujud manusia, 2 anjing asli tak ada perwujudan aowkwkw",Bullying
Kasian gue sama anjingnya dipegang dajjal,Bullying
Kasian anjing nya di pegang babi,Bullying
Lo itu kontol gak guna ajg anak dakjal,Bullying
mukak lu lebih buruk daripada anjing lu,Bullying
dikasi yang bening malah milih yang dakian,Bullying
Mending masuk penjara lagi aja dah seumur hidup,Bullying
Kok lbih lucu anjingnya ya ktimbang orangnya,Bullying
Akhirnya jesica bisa lepas dari kambing hitam ini,Bullying
Maafin Aja Bro Semua Orang Pasti Ada Kesalahan Dia Juga Pasti Ada Kesalahan Nasehatin Aja Siapa Tau Dia Berubah,Non-bullying
Kasian anjingnya dipeluk sma sampahh,Bullying
Gua kira keluar dari PENJARA bisa berubah,Bullying
Cintamu hanya sebatas kertas wkwkw enteng bang,Non-bullying
Padahal sejak dia sama Jane aku lebih respect :( skrg bener2 udah hilang respect :(,Non-bullying
"udah nemenin dari masa tersulit lo pas udah keluar malah selingkuh, ga nyangka idola gua sesampah itu.",Bullying
Dihujat habisan semua postingan lama ada komen baru wkwk,Non-bullying
"Gua gabisa bedain mana anjing mana manusia, keliatannya sama",Bullying
Lu mirip anaknya kick andy yg namanya marlo bang,Non-bullying
Kenapa ada orang baik ? Karna ada orang jahat,Non-bullying
Ngga ada niatan ngadain pengajian gitu bang?,Non-bullying
Suka banget sama rambutnyaa tambah ganteng,Non-bullying
"@abatartila Ada ada aja kaya gini di bilang king, king muke nya udh kaya tai musang",Bullying
Ninggalin berlian demi tai babi dih,Bullying
ganteng kaga lu begitu malah keliatan kaya daki kontol,Bullying
Mukak lo kayak tapir kuda asu sok ganteng banget lo,Bullying
Banyak yg kecewa karena lu begini rik!!!!,Non-bullying
"Maap ye…muke lu udh jelek kaga usah sok selingkuh,cakepan anjing gua noh",Bullying
Apa si hebatnya banci yg badannya penuh koreng kaya lo,Bullying
Gini dong bersihan kaga kek tahun tahun sebelumnya dekil,Bullying
Muka lu keriput kek aki aki,Bullying
"Foto jelek dihujat, foto ganteng dibilang sok ganteng",Non-bullying
kebanyakan nyabu jadi kurus lu,Bullying
"NARKOBOYY NGELUARIN LIDAHH, AJG MAU APA, MAU TES URIN",Bullying
Fotolu pede anjrit muka lu tu anjrit,Bullying
Hidup itu jngn keterlaluan boss playboy amat ajg luu,Bullying
Mukalu kek aktor bokep bgst mending ngobat aja luu,Bullying
dah jelek semangattt pulak WKWK,Bullying
"Muka nya kok gitu, seren bikin mual liatnya",Bullying
Sana anjing ngewe ama lonte bangsat,Bullying
Muka kek kontol mending di penjara,Bullying
muka kek banci dih najis,Bullying
Ntar Mati dalam keadaan konyol,Bullying
mau bilang jelek nya ga enak hehe …,Bullying
Idihhhhh pantesan aja foto nya keluarin lidah kyk gtu. Trnyata tukang jilat…,Bullying
"NIH ORANG KALO LOMBA MIRIP BABI,BABINYA JUARA 2",Bullying
Titisan dakjal emg lo nyet,Bullying
Et muka lu aje gitu dih hahaha. Biarin aja sampah ketemu sampah biar busuk bersama,Bullying
Jijik astagah sok bat cakep njs,Bullying
Bully an di ig lebih ngeri daripada di fb ajg gua jadi ngerii! Ajgg,Non-bullying
udah buriq brengsek pula pantes aja dapet lonte,Bullying
MUKA KAMPUNG GAYA SOK SOAN KOTA NYET,Bullying
Ngapa lidah Lo stroke amin deh kalau gtu,Bullying
Ciah dihujat 1 Indonesia jangan sampe bunuh diri ya komtoll kami blom puas nguat kauuu,Bullying
Org kampung otak dusun gaya sosoan hype. Ttep aja gabisa nutupin muka babu lu.,Bullying
Cowo foto liatin lidah nya jam ah jijik gue. Apa lagi minus akhlak kek gini,Bullying
ANJING gue jg ogah liat muke lu,Bullying
G bole melet dosaa rik,Non-bullying
paan melet melet mau jilat tai tabi?,Bullying
Setan emg melet2 teross jijik asuuu,Bullying
ni anak lahir krna kondom bocor.. ga ada rasa syukur muka kyk selangkangan gorilla dpt cewe cntik kyk jessica setia dll malah di sia2in bgsad,Bullying
Apaan si melet2 sok ganteng,Bullying
Muka kek slangkangan biawak aje bnyk blagu lu,Bullying
Sumpah sih jahat banget. Bener2 kasian sama kak jessica,Non-bullying
Anjing gk pantes sama bidadari.,Bullying
MELET MULU SETAN KAYA ULAR,Bullying
Njr melet melet gw kirain hewan,Bullying
Gtu aj dh kek anjg lo kang,Bullying
Gw kesini pengen liat babang ini.. Sumpah feeling gw bener.. Mirip banget ama Reynhard Sinaga,Non-bullying
Ih ko melet2 si kaya hewan aja wkwkwkwk,Bullying
Iuu milih iblis drpd bidadarii kwkwkw jyjyq,Bullying
"MELET2 UDAH KAYA ANJING, EH KAN EMAH ANJING",Bullying
ga nyadar aja nih sampah HAHA,Bullying
Lidah banyak kuman and virus nih,Bullying
"Awalnya ngira baju endorse dari KFC, mirip '-'",Non-bullying
"GUA MAU LO TERUS BERKARYA , PERBAIKI, TINGGALKAN YG NEGATIF , TIDAK ADA KATA TERLAMBAT , TTP JADI ORANG YG HEBAT DAN SELALU BAHAGIA @xrickolim",Non-bullying
"Cita cita ingin jadi pakboi , eh tapi malah jadi narkoboy nasib-nasib",Bullying
Napa lu balik dari penjara sih?,Bullying
Mending lu pada tobat dah,Non-bullying
"selama dipenjara apalo sikat gigi? KOK BAU YA, BAUBAU AROMA BANGSATTTT",Bullying
Gigi lo ada apanya? Jigong? Atau kondom nya nyangkut?,Bullying
ih mukanya kek anjing rumah gwa,Bullying
woi anak anjing ngapain lu hidup bgst,Bullying
Udah jelek gak usah d jelek2 in lagi bro,Bullying
Ganteng kagak berbakat juga kagak kelebihannya dimana cobak?,Bullying
Benci aja Ama orang jelek pake selingkuh segala,Bullying
Udah tutup mulut nya bau kambing,Bullying
Jualan jualan knp ngga jadi yutuber lagi bro takut ngga ada yg nntn yah,Bullying
Kayak Randy Pangalila klo gk pake kacamata,Non-bullying
Entah knp liat muka BG Eric sekarang kaya enak gitu .. dari pada yg dulu,Non-bullying
Apa ganteng nyasih anjing.. Kucel gini jadiin model,Bullying
keknya dia ngeliat masa depan yang hancur deh,Bullying
INGETT HIDUP LO DULU GA SEENAK INI RIKKK. HIDUP LO SUSAH!!!! SALAM TEMEN SMP PAS LO BURIKKK. EH SKRG SAMA AJA,Bullying
